city,confirm,critical,date,dead,province,severe
合肥,59,0,2020-02-01,2,安徽省,0
淮北,6,0,2020-02-01,0,安徽省,0
亳州,30,0,2020-02-01,2,安徽省,0
宿州,14,0,2020-02-01,0,安徽省,0
蚌埠,26,0,2020-02-01,0,安徽省,0
阜阳,59,0,2020-02-01,0,安徽省,0
淮南,6,0,2020-02-01,0,安徽省,0
滁州,6,0,2020-02-01,0,安徽省,0
六安,13,0,2020-02-01,1,安徽省,0
马鞍山,27,0,2020-02-01,0,安徽省,0
芜湖,16,0,2020-02-01,0,安徽省,0
宣城,4,0,2020-02-01,0,安徽省,0
铜陵,16,0,2020-02-01,0,安徽省,0
池州,6,0,2020-02-01,0,安徽省,0
安庆,43,0,2020-02-01,0,安徽省,0
黄山,9,0,2020-02-01,0,安徽省,0
万州,39,1,2020-02-01,0,重庆市,3
黔江,2,0,2020-02-01,0,重庆市,0
涪陵,1,0,2020-02-01,0,重庆市,0
渝中,9,0,2020-02-01,0,重庆市,0
大渡口,6,0,2020-02-01,0,重庆市,2
江北,13,1,2020-02-01,0,重庆市,1
沙坪坝,2,0,2020-02-01,0,重庆市,0
九龙坡,11,1,2020-02-01,0,重庆市,0
南岸,4,0,2020-02-01,0,重庆市,0
渝北,12,0,2020-02-01,0,重庆市,1
巴南,1,0,2020-02-01,0,重庆市,0
长寿,10,0,2020-02-01,0,重庆市,3
江津,3,0,2020-02-01,0,重庆市,3
合川,8,0,2020-02-01,0,重庆市,0
永川,3,0,2020-02-01,0,重庆市,0
綦江,4,0,2020-02-01,0,重庆市,1
大足,4,0,2020-02-01,0,重庆市,0
璧山,8,0,2020-02-01,0,重庆市,2
铜梁,4,1,2020-02-01,0,重庆市,0
潼南,2,0,2020-02-01,0,重庆市,0
荣昌,2,0,2020-02-01,0,重庆市,0
开州,16,1,2020-02-01,0,重庆市,1
梁平,2,0,2020-02-01,0,重庆市,1
武隆,1,0,2020-02-01,0,重庆市,0
城口,1,0,2020-02-01,0,重庆市,0
丰都,5,0,2020-02-01,1,重庆市,1
垫江,11,0,2020-02-01,0,重庆市,1
忠,12,1,2020-02-01,0,重庆市,3
云阳,18,0,2020-02-01,0,重庆市,1
奉节,8,0,2020-02-01,0,重庆市,2
巫山,6,0,2020-02-01,1,重庆市,0
巫溪,11,0,2020-02-01,0,重庆市,0
石柱,10,0,2020-02-01,0,重庆市,0
秀山,1,0,2020-02-01,1,重庆市,0
两江新区,12,0,2020-02-01,0,重庆市,0
广州,175,0,2020-02-01,0,广东省,0
深圳,196,0,2020-02-01,0,广东省,0
珠海,41,0,2020-02-01,0,广东省,0
汕头,14,0,2020-02-01,0,广东省,0
佛山,39,0,2020-02-01,0,广东省,0
韶关,5,0,2020-02-01,0,广东省,0
河源,1,0,2020-02-01,0,广东省,0
梅州,6,0,2020-02-01,0,广东省,0
惠州,23,0,2020-02-01,0,广东省,0
汕尾,4,0,2020-02-01,0,广东省,0
东莞,27,0,2020-02-01,0,广东省,0
中山,21,0,2020-02-01,0,广东省,0
江门,3,0,2020-02-01,0,广东省,0
阳江,10,0,2020-02-01,0,广东省,0
湛江,14,0,2020-02-01,0,广东省,0
茂名,3,0,2020-02-01,0,广东省,0
肇庆,7,0,2020-02-01,0,广东省,0
清远,6,0,2020-02-01,0,广东省,0
揭阳,6,0,2020-02-01,0,广东省,0
潮州,3,0,2020-02-01,0,广东省,0
沧州,19,0,2020-02-01,0,河北,1
石家庄,13,0,2020-02-01,0,河北,2
廊坊,11,0,2020-02-01,0,河北,1
保定,13,0,2020-02-01,0,河北,0
张家口,9,0,2020-02-01,0,河北,1
邯郸,11,0,2020-02-01,0,河北,1
邢台,10,0,2020-02-01,0,河北,2
衡水,4,0,2020-02-01,0,河北,0
唐山,11,0,2020-02-01,0,河北,0
承德,2,0,2020-02-01,0,河北,0
秦皇岛,1,0,2020-02-01,0,河北,0
武汉,4109,0,2020-02-01,138,湖北省,0
黄石,252,0,2020-02-01,2,湖北省,0
十堰,212,0,2020-02-01,0,湖北省,0
襄阳,441,0,2020-02-01,0,湖北省,0
宜昌,353,0,2020-02-01,0,湖北省,0
荆州,333,0,2020-02-01,2,湖北省,0
荆门,329,0,2020-02-01,3,湖北省,0
鄂州,278,0,2020-02-01,0,湖北省,0
孝感,749,0,2020-02-01,2,湖北省,0
黄冈,1002,0,2020-02-01,27,湖北省,0
咸宁,246,0,2020-02-01,1,湖北省,0
随州,384,0,2020-02-01,3,湖北省,0
恩施州,105,0,2020-02-01,2,湖北省,0
仙桃,140,0,2020-02-01,0,湖北省,0
天门,99,0,2020-02-01,0,湖北省,0
潜江,35,0,2020-02-01,0,湖北省,0
神农架林区,7,0,2020-02-01,0,湖北省,0
南昌,89,0,2020-02-01,1,江西省,0
九江,53,0,2020-02-01,0,江西省,0
新余,43,0,2020-02-01,3,江西省,0
赣州,34,0,2020-02-01,1,江西省,0
宜春,31,0,2020-02-01,1,江西省,0
抚州,24,0,2020-02-01,0,江西省,0
上饶,19,0,2020-02-01,1,江西省,0
吉安,12,0,2020-02-01,1,江西省,0
萍乡,15,0,2020-02-01,1,江西省,0
鹰潭,8,0,2020-02-01,0,江西省,0
景德镇,3,0,2020-02-01,1,江西省,0
呼和浩特,2,0,2020-02-01,0,内蒙古,0
包头,5,2,2020-02-01,0,内蒙古,0
呼伦贝尔,2,0,2020-02-01,0,内蒙古,0
兴安盟,1,0,2020-02-01,0,内蒙古,0
通辽,1,0,2020-02-01,0,内蒙古,0
赤峰,2,0,2020-02-01,0,内蒙古,0
锡林郭勒盟,2,0,2020-02-01,0,内蒙古,0
乌兰察布,2,0,2020-02-01,0,内蒙古,0
鄂尔多斯,6,0,2020-02-01,0,内蒙古,0
巴彦淖尔,3,0,2020-02-01,0,内蒙古,0
济南,19,0,2020-02-01,0,山东省,0
青岛,22,0,2020-02-01,0,山东省,0
淄博,12,0,2020-02-01,0,山东省,0
枣庄,14,0,2020-02-01,0,山东省,0
烟台,20,0,2020-02-01,0,山东省,0
潍坊,10,0,2020-02-01,0,山东省,0
济宁,14,0,2020-02-01,0,山东省,0
泰安,9,0,2020-02-01,0,山东省,0
威海,24,0,2020-02-01,0,山东省,0
日照,11,0,2020-02-01,0,山东省,0
临沂,24,0,2020-02-01,0,山东省,0
德州,19,0,2020-02-01,0,山东省,0
聊城,9,0,2020-02-01,0,山东省,0
滨州,10,0,2020-02-01,0,山东省,0
菏泽,8,0,2020-02-01,0,山东省,0
晋中,13,1,2020-02-01,0,山西省,1
运城,10,0,2020-02-01,0,山西省,0
大同,8,0,2020-02-01,0,山西省,0
吕梁,5,0,2020-02-01,0,山西省,1
太原,6,0,2020-02-01,1,山西省,0
朔州,3,0,2020-02-01,0,山西省,0
长治,3,0,2020-02-01,0,山西省,0
晋城,3,0,2020-02-01,0,山西省,0
忻州,3,0,2020-02-01,0,山西省,1
阳泉,1,0,2020-02-01,0,山西省,0
临汾,1,0,2020-02-01,0,山西省,0
河北,9,0,2020-02-01,0,天津市,0
河东,6,0,2020-02-01,0,天津市,1
河西,3,0,2020-02-01,0,天津市,0
和平,3,0,2020-02-01,0,天津市,0
南开,2,0,2020-02-01,0,天津市,0
宝坻,3,0,2020-02-01,0,天津市,1
东丽,3,0,2020-02-01,0,天津市,0
西青,2,0,2020-02-01,0,天津市,0
红桥,2,0,2020-02-01,0,天津市,0
滨海新区,2,0,2020-02-01,0,天津市,0
宁河,2,0,2020-02-01,0,天津市,0
外地来津,4,0,2020-02-01,0,天津市,0
澳门,8,0,2020-02-01,0,澳门,0
福州,44,0,2020-02-01,0,福建省,0
厦门,18,0,2020-02-01,0,福建省,0
漳州,12,0,2020-02-01,0,福建省,0
泉州,29,0,2020-02-01,0,福建省,0
三明,11,0,2020-02-01,0,福建省,0
莆田,27,0,2020-02-01,0,福建省,0
南平,8,0,2020-02-01,0,福建省,0
龙岩,1,0,2020-02-01,0,福建省,0
宁德,9,0,2020-02-01,0,福建省,0
南宁,16,0,2020-02-01,0,广西,0
柳州,12,0,2020-02-01,0,广西,0
桂林,23,2,2020-02-01,0,广西,2
梧州,5,0,2020-02-01,1,广西,0
北海,23,0,2020-02-01,0,广西,0
防城港,8,0,2020-02-01,1,广西,3
钦州,2,0,2020-02-01,0,广西,0
贵港,4,0,2020-02-01,0,广西,1
玉林,7,0,2020-02-01,0,广西,0
百色,2,0,2020-02-01,0,广西,0
河池,6,0,2020-02-01,0,广西,0
贺州,3,0,2020-02-01,0,广西,0
哈尔滨,34,0,2020-02-01,2,黑龙江省,0
齐齐哈尔,3,0,2020-02-01,0,黑龙江省,0
牡丹江,7,0,2020-02-01,0,黑龙江省,0
佳木斯,11,0,2020-02-01,0,黑龙江省,0
大庆,8,0,2020-02-01,0,黑龙江省,0
鸡西,4,0,2020-02-01,0,黑龙江省,0
双鸭山,4,0,2020-02-01,0,黑龙江省,0
七台河,6,0,2020-02-01,0,黑龙江省,0
鹤岗,1,0,2020-02-01,0,黑龙江省,0
绥化,14,0,2020-02-01,0,黑龙江省,0
黑河,1,0,2020-02-01,0,黑龙江省,0
大兴安岭地,2,0,2020-02-01,0,黑龙江省,0
长沙,112,0,2020-02-01,0,湖南省,9
衡阳,30,0,2020-02-01,0,湖南省,0
株洲,25,0,2020-02-01,0,湖南省,6
湘潭,16,0,2020-02-01,0,湖南省,1
邵阳,49,0,2020-02-01,0,湖南省,7
岳阳,53,0,2020-02-01,0,湖南省,2
常德,42,0,2020-02-01,0,湖南省,4
张家界,3,0,2020-02-01,0,湖南省,0
益阳,27,0,2020-02-01,0,湖南省,3
郴州,18,0,2020-02-01,0,湖南省,0
永州,22,0,2020-02-01,0,湖南省,2
怀化,31,0,2020-02-01,0,湖南省,8
娄底,29,0,2020-02-01,0,湖南省,1
湘西自治州,6,0,2020-02-01,0,湖南省,1
长春,12,0,2020-02-01,1,吉林省,0
吉林,3,0,2020-02-01,0,吉林省,0
延边,2,0,2020-02-01,0,吉林省,0
松原,2,0,2020-02-01,0,吉林省,0
通化,1,0,2020-02-01,0,吉林省,0
四平,1,0,2020-02-01,0,吉林省,0
公主岭,1,0,2020-02-01,0,吉林省,0
银川,16,0,2020-02-01,0,宁夏,0
吴忠,7,0,2020-02-01,0,宁夏,0
固原,2,0,2020-02-01,0,宁夏,0
中卫,2,0,2020-02-01,0,宁夏,0
宁东管委会,1,0,2020-02-01,0,宁夏,0
外地来沪,74,0,2020-02-01,0,上海市,0
浦东,32,0,2020-02-01,0,上海市,0
静安,9,0,2020-02-01,0,上海市,0
闵行,7,0,2020-02-01,0,上海市,0
长宁,7,0,2020-02-01,0,上海市,0
黄浦,5,0,2020-02-01,0,上海市,0
徐汇,7,0,2020-02-01,0,上海市,0
虹口,5,0,2020-02-01,0,上海市,0
宝山,8,0,2020-02-01,0,上海市,0
奉贤,5,0,2020-02-01,0,上海市,0
松江,7,0,2020-02-01,0,上海市,0
普陀,3,0,2020-02-01,0,上海市,0
杨浦,2,0,2020-02-01,0,上海市,0
嘉定,2,0,2020-02-01,0,上海市,0
青浦,2,0,2020-02-01,0,上海市,0
金山,1,0,2020-02-01,0,上海市,0
崇明,1,0,2020-02-01,0,上海市,0
成都,73,0,2020-02-01,0,四川省,0
南充,23,0,2020-02-01,0,四川省,0
广安,20,0,2020-02-01,0,四川省,0
绵阳,14,0,2020-02-01,0,四川省,0
内江,11,0,2020-02-01,0,四川省,0
自贡,9,0,2020-02-01,0,四川省,0
达州,9,0,2020-02-01,0,四川省,0
巴中,8,0,2020-02-01,0,四川省,0
攀枝花,9,0,2020-02-01,0,四川省,0
德阳,10,0,2020-02-01,0,四川省,0
宜宾,7,0,2020-02-01,0,四川省,0
泸州,6,0,2020-02-01,0,四川省,0
遂宁,5,0,2020-02-01,0,四川省,0
雅安,5,0,2020-02-01,0,四川省,0
甘孜州,5,0,2020-02-01,0,四川省,0
凉山州,5,0,2020-02-01,0,四川省,0
广元,5,0,2020-02-01,0,四川省,0
乐山,2,0,2020-02-01,0,四川省,0
眉山,2,0,2020-02-01,0,四川省,0
资阳,2,0,2020-02-01,0,四川省,0
阿坝州,1,0,2020-02-01,0,四川省,0
昆明,31,0,2020-02-01,0,云南省,0
西双版纳州,12,0,2020-02-01,0,云南省,0
玉溪,11,0,2020-02-01,0,云南省,0
保山,8,0,2020-02-01,0,云南省,0
昭通,6,0,2020-02-01,0,云南省,0
大理州,7,0,2020-02-01,1,云南省,0
丽江,6,0,2020-02-01,0,云南省,0
曲靖,5,0,2020-02-01,0,云南省,0
红河州,5,0,2020-02-01,1,云南省,0
普洱,4,0,2020-02-01,0,云南省,0
德宏州,3,0,2020-02-01,0,云南省,0
临沧,1,0,2020-02-01,0,云南省,0
东城,3,0,2020-02-01,0,北京市,0
西城,17,0,2020-02-01,0,北京市,0
朝阳,35,0,2020-02-01,0,北京市,0
海淀,41,0,2020-02-01,0,北京市,0
丰台,16,0,2020-02-01,0,北京市,0
石景山,4,0,2020-02-01,0,北京市,0
门头沟,1,0,2020-02-01,0,北京市,0
房山,2,0,2020-02-01,0,北京市,0
通州,13,0,2020-02-01,0,北京市,0
顺义,6,0,2020-02-01,0,北京市,0
大兴,21,0,2020-02-01,0,北京市,0
昌平,12,0,2020-02-01,0,北京市,0
怀柔,1,0,2020-02-01,0,北京市,0
外地来京人员,11,0,2020-02-01,0,北京市,0
郑州,65,0,2020-02-01,0,河南省,0
开封,11,0,2020-02-01,0,河南省,0
洛阳,7,0,2020-02-01,0,河南省,0
平顶山,14,0,2020-02-01,0,河南省,0
安阳,24,0,2020-02-01,0,河南省,0
鹤壁,8,0,2020-02-01,0,河南省,0
新乡,21,0,2020-02-01,0,河南省,0
焦作,7,0,2020-02-01,0,河南省,0
濮阳,3,0,2020-02-01,0,河南省,0
许昌,13,0,2020-02-01,0,河南省,0
漯河,16,0,2020-02-01,0,河南省,0
三门峡,7,0,2020-02-01,0,河南省,0
南阳,62,0,2020-02-01,0,河南省,0
商丘,36,0,2020-02-01,0,河南省,0
周口,40,0,2020-02-01,0,河南省,0
信阳,88,0,2020-02-01,0,河南省,0
驻马店,46,0,2020-02-01,0,河南省,0
滑,1,0,2020-02-01,0,河南省,0
长垣,2,0,2020-02-01,0,河南省,0
永城,8,0,2020-02-01,0,河南省,0
邓州,14,0,2020-02-01,0,河南省,0
南京,35,0,2020-02-01,2,江苏省,0
无锡,19,0,2020-02-01,0,江苏省,0
徐州,30,0,2020-02-01,0,江苏省,0
常州,15,0,2020-02-01,0,江苏省,0
苏州,38,0,2020-02-01,2,江苏省,1
南通,17,0,2020-02-01,0,江苏省,0
连云港,13,0,2020-02-01,1,江苏省,0
淮安,13,0,2020-02-01,1,江苏省,0
盐城,15,0,2020-02-01,0,江苏省,0
扬州,13,0,2020-02-01,0,江苏省,0
镇江,3,0,2020-02-01,0,江苏省,0
泰州,17,0,2020-02-01,0,江苏省,0
宿迁,8,0,2020-02-01,0,江苏省,0
沈阳,16,0,2020-02-01,0,辽宁省,0
大连,10,0,2020-02-01,1,辽宁省,0
本溪,3,0,2020-02-01,0,辽宁省,0
丹东,6,0,2020-02-01,0,辽宁省,0
锦州,7,0,2020-02-01,0,辽宁省,0
营口,1,0,2020-02-01,0,辽宁省,0
阜新,2,0,2020-02-01,0,辽宁省,0
辽阳,1,0,2020-02-01,0,辽宁省,0
铁岭,2,0,2020-02-01,0,辽宁省,0
朝阳,6,0,2020-02-01,0,辽宁省,0
盘锦,5,0,2020-02-01,0,辽宁省,0
葫芦岛,5,0,2020-02-01,0,辽宁省,0
西宁,9,0,2020-02-01,0,青海省,0
西安,47,0,2020-02-01,0,陕西省,0
宝鸡,7,0,2020-02-01,0,陕西省,0
咸阳,9,0,2020-02-01,0,陕西省,0
铜川,6,0,2020-02-01,0,陕西省,0
渭南,5,0,2020-02-01,0,陕西省,0
延安,7,0,2020-02-01,0,陕西省,0
榆林,1,0,2020-02-01,0,陕西省,0
汉中,15,0,2020-02-01,0,陕西省,0
安康,16,0,2020-02-01,0,陕西省,0
商洛,2,0,2020-02-01,0,陕西省,0
韩城,1,0,2020-02-01,0,陕西省,0
乌鲁木齐,8,1,2020-02-01,0,新疆,2
伊犁州,5,0,2020-02-01,0,新疆,2
吐鲁番,1,0,2020-02-01,0,新疆,0
阿克苏地,1,0,2020-02-01,0,新疆,0
兵团第七师,1,0,2020-02-01,0,新疆,0
兵团第八师石河子,1,0,2020-02-01,0,新疆,0
兵团第九师,4,0,2020-02-01,0,新疆,0
杭州,110,0,2020-02-01,2,浙江省,10
宁波,66,0,2020-02-01,1,浙江省,3
温州,265,0,2020-02-01,10,浙江省,16
湖州,6,0,2020-02-01,0,浙江省,0
嘉兴,19,0,2020-02-01,0,浙江省,2
绍兴,27,0,2020-02-01,1,浙江省,5
金华,34,0,2020-02-01,3,浙江省,5
衢州,13,0,2020-02-01,0,浙江省,3
舟山,7,0,2020-02-01,1,浙江省,0
台州,100,0,2020-02-01,4,浙江省,6
丽水,14,0,2020-02-01,1,浙江省,2
贵阳,6,0,2020-02-01,1,贵州省,0
遵义,5,0,2020-02-01,0,贵州省,0
六盘水,8,0,2020-02-01,0,贵州省,0
安顺,2,0,2020-02-01,0,贵州省,0
毕节,4,0,2020-02-01,0,贵州省,0
铜仁,3,0,2020-02-01,0,贵州省,0
黔东南州,4,0,2020-02-01,0,贵州省,0
黔南州,5,0,2020-02-01,0,贵州省,0
黔西南州,1,0,2020-02-01,0,贵州省,0
其他,23,0,2020-02-01,0,贵州省,0
海口,11,0,2020-02-01,0,海南省,0
三亚,17,0,2020-02-01,0,海南省,0
儋州,6,0,2020-02-01,0,海南省,0
琼海,6,0,2020-02-01,0,海南省,0
万宁,8,0,2020-02-01,0,海南省,0
东方,1,0,2020-02-01,0,海南省,0
澄迈,2,0,2020-02-01,0,海南省,0
临高,4,0,2020-02-01,0,海南省,0
陵水,5,0,2020-02-01,0,海南省,0
琼中,1,0,2020-02-01,0,海南省,0
定安,1,0,2020-02-01,0,海南省,0
昌江,1,0,2020-02-01,0,海南省,0
乐东,1,0,2020-02-01,0,海南省,0
合肥,59,0,2020-01-31,1,安徽省,0
淮北,6,0,2020-01-31,0,安徽省,0
亳州,25,0,2020-01-31,1,安徽省,0
宿州,12,0,2020-01-31,0,安徽省,0
蚌埠,16,0,2020-01-31,0,安徽省,2
阜阳,47,0,2020-01-31,0,安徽省,1
淮南,6,0,2020-01-31,0,安徽省,0
滁州,6,0,2020-01-31,0,安徽省,0
六安,13,0,2020-01-31,1,安徽省,0
马鞍山,22,0,2020-01-31,0,安徽省,0
芜湖,15,0,2020-01-31,0,安徽省,0
宣城,4,0,2020-01-31,0,安徽省,0
铜陵,16,0,2020-01-31,0,安徽省,0
池州,4,0,2020-01-31,0,安徽省,0
安庆,37,0,2020-01-31,0,安徽省,0
黄山,9,0,2020-01-31,0,安徽省,0
万州,33,1,2020-01-31,0,重庆市,3
黔江,2,0,2020-01-31,0,重庆市,0
涪陵,1,0,2020-01-31,0,重庆市,0
渝中,7,0,2020-01-31,0,重庆市,0
大渡口,6,0,2020-01-31,0,重庆市,2
江北,12,1,2020-01-31,0,重庆市,1
九龙坡,9,1,2020-01-31,0,重庆市,0
南岸,3,0,2020-01-31,0,重庆市,0
渝北,11,0,2020-01-31,0,重庆市,1
巴南,1,0,2020-01-31,0,重庆市,0
长寿,10,0,2020-01-31,0,重庆市,3
江津,3,0,2020-01-31,0,重庆市,2
合川,8,0,2020-01-31,0,重庆市,0
永川,3,0,2020-01-31,0,重庆市,0
綦江,4,0,2020-01-31,0,重庆市,1
大足,4,0,2020-01-31,0,重庆市,0
璧山,8,0,2020-01-31,0,重庆市,2
铜梁,2,1,2020-01-31,0,重庆市,0
潼南,2,0,2020-01-31,0,重庆市,0
开州,16,1,2020-01-31,0,重庆市,0
梁平,2,0,2020-01-31,0,重庆市,0
武隆,1,0,2020-01-31,0,重庆市,0
城口,1,0,2020-01-31,0,重庆市,0
丰都,4,0,2020-01-31,0,重庆市,1
垫江,10,0,2020-01-31,0,重庆市,1
忠,12,1,2020-01-31,0,重庆市,1
云阳,17,0,2020-01-31,0,重庆市,1
奉节,5,0,2020-01-31,0,重庆市,1
巫山,6,0,2020-01-31,1,重庆市,0
巫溪,10,0,2020-01-31,0,重庆市,0
石柱,10,0,2020-01-31,0,重庆市,0
秀山,1,0,2020-01-31,0,重庆市,0
两江新区,10,0,2020-01-31,0,重庆市,0
沙坪坝,2,0,2020-01-31,0,重庆市,0
广州,106,0,2020-01-31,0,广东省,0
深圳,110,0,2020-01-31,0,广东省,0
珠海,26,0,2020-01-31,0,广东省,0
汕头,12,0,2020-01-31,0,广东省,0
佛山,32,0,2020-01-31,0,广东省,0
韶关,4,0,2020-01-31,0,广东省,0
河源,1,0,2020-01-31,0,广东省,0
梅州,5,0,2020-01-31,0,广东省,0
惠州,17,0,2020-01-31,0,广东省,0
汕尾,3,0,2020-01-31,0,广东省,0
东莞,16,0,2020-01-31,0,广东省,0
中山,18,0,2020-01-31,0,广东省,0
江门,1,0,2020-01-31,0,广东省,0
阳江,10,0,2020-01-31,0,广东省,0
湛江,11,0,2020-01-31,0,广东省,0
茂名,3,0,2020-01-31,0,广东省,0
肇庆,6,0,2020-01-31,0,广东省,0
清远,6,0,2020-01-31,0,广东省,0
揭阳,6,0,2020-01-31,0,广东省,0
沧州,19,0,2020-01-31,0,河北,2
石家庄,12,0,2020-01-31,0,河北,2
廊坊,11,0,2020-01-31,0,河北,0
保定,11,0,2020-01-31,0,河北,0
张家口,8,0,2020-01-31,0,河北,1
邯郸,10,0,2020-01-31,0,河北,1
邢台,10,0,2020-01-31,0,河北,0
衡水,4,0,2020-01-31,0,河北,1
唐山,8,0,2020-01-31,0,河北,0
承德,2,0,2020-01-31,0,河北,0
秦皇岛,1,0,2020-01-31,0,河北,0
武汉,3215,0,2020-01-31,106,湖北省,0
黄石,209,0,2020-01-31,0,湖北省,0
十堰,177,0,2020-01-31,0,湖北省,0
襄阳,347,0,2020-01-31,0,湖北省,0
宜昌,276,0,2020-01-31,0,湖北省,0
荆州,287,0,2020-01-31,2,湖北省,0
荆门,251,0,2020-01-31,0,湖北省,0
鄂州,227,0,2020-01-31,0,湖北省,0
孝感,628,0,2020-01-31,2,湖北省,0
黄冈,726,0,2020-01-31,17,湖北省,0
咸宁,206,0,2020-01-31,1,湖北省,0
随州,304,0,2020-01-31,0,湖北省,0
恩施州,87,0,2020-01-31,1,湖北省,0
仙桃,97,0,2020-01-31,0,湖北省,0
天门,82,0,2020-01-31,0,湖北省,0
潜江,27,0,2020-01-31,0,湖北省,0
神农架林区,7,0,2020-01-31,0,湖北省,0
南昌,83,0,2020-01-31,1,江西省,0
九江,43,0,2020-01-31,0,江西省,0
新余,40,0,2020-01-31,2,江西省,0
赣州,30,0,2020-01-31,1,江西省,0
宜春,29,0,2020-01-31,1,江西省,0
抚州,18,0,2020-01-31,0,江西省,0
上饶,16,0,2020-01-31,1,江西省,0
吉安,11,0,2020-01-31,1,江西省,0
萍乡,9,0,2020-01-31,1,江西省,0
鹰潭,4,0,2020-01-31,0,江西省,0
景德镇,3,0,2020-01-31,1,江西省,0
